liver3D 18
imgName,TP,FP,TN,FN,DICE,CC
10.tif,1413,1395,46012,332,0.621,3
11.tif,1226,1483,46098,345,0.573,3
12.tif,812,1677,46364,299,0.451,3
13.tif,535,1814,46707,96,0.359,4
14.tif,522,1777,46744,109,0.356,4
15.tif,511,1733,46788,120,0.355,4
16.tif,494,1699,46822,137,0.35,4

liver3D 27
imgName,TP,FP,TN,FN,DICE,CC
1.tif,4686,192,43612,662,0.916,1
2.tif,4300,416,43995,441,0.909,1
3.tif,3937,555,44457,203,0.912,1
4.tif,3148,1131,44712,161,0.83,2
5.tif,2759,1093,45181,119,0.82,2
6.tif,2315,1077,45558,202,0.784,5
7.tif,1745,1203,45914,290,0.7,4
8.tif,1307,1241,46218,386,0.616,4
9.tif,686,1270,47155,41,0.511,4
10.tif,528,1201,47378,45,0.459,4
11.tif,421,1258,47413,60,0.39,3
12.tif,264,1354,47503,31,0.276,3
13.tif,169,1463,47500,20,0.186,3
14.tif,161,1456,47507,28,0.178,4
15.tif,158,1368,47595,31,0.184,3
16.tif,151,1304,47659,38,0.184,3

liver3D 28
imgName,TP,FP,TN,FN,DICE,CC
1.tif,4020,1361,43387,384,0.822,1
2.tif,4380,836,43475,461,0.871,1
3.tif,3195,1871,43958,128,0.762,1
4.tif,3054,1903,43896,299,0.735,2
5.tif,2878,1855,44218,201,0.737,2
6.tif,2694,1840,44568,50,0.74,2
7.tif,2911,1212,44880,149,0.811,3
8.tif,2665,1111,45283,93,0.816,2
9.tif,2449,773,45870,60,0.855,3
10.tif,1854,917,46341,40,0.795,2
11.tif,1484,842,46777,49,0.769,3
12.tif,931,1065,47143,13,0.633,3
13.tif,758,1140,47229,25,0.565,4
14.tif,756,1219,47150,27,0.548,2
15.tif,756,1215,47154,27,0.549,2
16.tif,763,1200,47169,20,0.556,2

liver3D 29
imgName,TP,FP,TN,FN,DICE,CC
1.tif,3323,1720,42564,1545,0.671,4
2.tif,2682,2059,42912,1499,0.601,3
3.tif,2658,1907,44378,209,0.715,3
4.tif,2341,2044,44620,147,0.681,4
5.tif,2043,2057,44875,177,0.647,4
6.tif,976,2714,45430,32,0.415,5
7.tif,968,2778,45366,40,0.407,5
8.tif,947,2834,45310,61,0.395,5
9.tif,936,2918,45226,72,0.385,5
10.tif,930,2949,45195,78,0.381,5
11.tif,934,3138,45006,74,0.368,4
12.tif,933,3215,44929,75,0.362,3
13.tif,930,3225,44919,78,0.36,3
14.tif,917,3139,45005,91,0.362,3
15.tif,907,3035,45109,101,0.366,3
16.tif,895,2955,45189,113,0.368,3

liver3D 30
imgName,TP,FP,TN,FN,DICE,CC
1.tif,4667,652,43725,108,0.925,1
2.tif,4840,384,43742,186,0.944,1
3.tif,4480,602,43858,212,0.917,1
4.tif,4456,395,44073,228,0.935,1
5.tif,3602,749,44477,324,0.87,1
6.tif,3315,636,44905,296,0.877,1
7.tif,2684,785,45418,265,0.836,2
8.tif,1993,1009,46044,106,0.781,2
9.tif,1618,466,46683,385,0.792,4
10.tif,1112,425,47351,264,0.763,2
11.tif,700,122,48044,286,0.774,3
12.tif,430,146,48525,51,0.814,1
13.tif,461,14,48627,50,0.935,1
14.tif,455,13,48628,56,0.93,1
15.tif,459,11,48630,52,0.936,1
16.tif,464,12,48629,47,0.94,1

liver3D 31
imgName,TP,FP,TN,FN,DICE,CC
1.tif,5569,294,43171,118,0.964,1
2.tif,5446,396,43282,28,0.963,1
3.tif,4808,892,43360,92,0.907,1
4.tif,4457,901,43666,128,0.897,1
5.tif,3989,1026,44065,72,0.879,1
6.tif,3738,813,44492,109,0.89,1
7.tif,3425,656,44886,185,0.891,2
8.tif,3181,529,45209,233,0.893,2
9.tif,2890,494,45409,359,0.871,3
10.tif,2440,671,45902,139,0.858,3
11.tif,1255,1539,46328,30,0.615,3
12.tif,1082,1428,46628,14,0.6,2
13.tif,997,1039,47103,13,0.655,2
14.tif,789,848,47505,10,0.648,2
15.tif,636,612,47900,4,0.674,2
16.tif,477,572,48103,0,0.625,3

liver3D 32
imgName,TP,FP,TN,FN,DICE,CC
1.tif,3897,294,44510,451,0.913,1
2.tif,3808,323,44563,458,0.907,1
3.tif,3344,618,44961,229,0.888,1
4.tif,3034,738,45128,252,0.86,4
5.tif,2786,884,45277,205,0.837,5
6.tif,2416,1115,45488,133,0.795,5
7.tif,2078,1263,45471,340,0.722,6
8.tif,1806,1392,45610,344,0.675,6
9.tif,923,2065,46103,61,0.465,5
10.tif,772,1791,46531,58,0.455,6
11.tif,205,1900,46932,115,0.169,6
12.tif,237,1654,47133,128,0.21,6
13.tif,215,1575,47212,150,0.2,6
14.tif,201,1519,47268,164,0.193,6
15.tif,192,1417,47370,173,0.195,6
16.tif,186,1320,47467,179,0.199,6

liver3D 33
imgName,TP,FP,TN,FN,DICE,CC
1.tif,1642,3436,44004,70,0.484,4
2.tif,1482,3197,44438,35,0.478,6
3.tif,1480,2747,44902,23,0.517,4
4.tif,1474,2290,45287,101,0.552,4
5.tif,1218,2366,45476,92,0.498,4
6.tif,989,2612,45501,50,0.426,4
7.tif,714,2634,45734,70,0.346,4
8.tif,503,2538,46077,34,0.281,5
9.tif,494,2566,46049,43,0.275,5
10.tif,481,2615,46000,56,0.265,5
11.tif,476,2711,45904,61,0.256,5
12.tif,468,2763,45852,69,0.248,5
13.tif,458,2805,45810,79,0.241,5
14.tif,450,2803,45812,87,0.237,5
15.tif,441,2766,45849,96,0.236,5
16.tif,436,2729,45886,101,0.236,5

liver3D 34
imgName,TP,FP,TN,FN,DICE,CC
1.tif,2926,2904,43099,223,0.652,3
2.tif,2892,2886,43130,244,0.649,3
3.tif,2727,2853,43387,185,0.642,3
4.tif,2831,2402,43720,199,0.685,4
5.tif,2526,2241,44266,119,0.682,3
6.tif,2463,1876,44682,131,0.711,3
7.tif,2658,1365,44935,194,0.773,3
8.tif,2635,980,45388,149,0.824,3
9.tif,2242,692,46089,129,0.845,2
10.tif,2235,446,46233,238,0.867,2
11.tif,1922,488,46584,158,0.856,1
12.tif,1689,537,46878,48,0.852,1
13.tif,1550,550,46859,193,0.807,1
14.tif,1307,656,47020,169,0.76,4
15.tif,1314,486,47161,191,0.795,3
16.tif,1242,526,47180,204,0.773,2

liver3D 35
imgName,TP,FP,TN,FN,DICE,CC
1.tif,6193,392,41090,1477,0.869,1
2.tif,6140,376,41371,1265,0.882,1
3.tif,5705,687,41935,825,0.883,1
4.tif,5520,645,42303,684,0.893,1
5.tif,5107,643,43100,302,0.915,1
6.tif,4754,530,43404,464,0.905,1
7.tif,4330,480,43888,454,0.903,1
8.tif,3914,294,44305,639,0.894,2
9.tif,3136,222,44786,1008,0.836,3
10.tif,2535,188,45932,497,0.881,3
11.tif,2142,217,46325,468,0.862,2
12.tif,2046,172,46370,564,0.848,2
13.tif,1952,134,46408,658,0.831,2
14.tif,1877,120,46422,733,0.815,2
15.tif,1825,103,46439,785,0.804,2
16.tif,1797,94,46448,813,0.798,2

liver3D 36
imgName,TP,FP,TN,FN,DICE,CC
1.tif,5250,267,43180,455,0.936,1
2.tif,5029,319,43513,291,0.943,1
3.tif,4836,247,43700,369,0.94,1
4.tif,4514,212,43981,445,0.932,1
5.tif,4199,302,44235,416,0.921,1
6.tif,3777,467,44587,321,0.906,1
7.tif,3207,557,45192,196,0.895,2
8.tif,2428,598,45865,261,0.85,4
9.tif,2175,235,46573,169,0.915,1
10.tif,1680,222,47137,113,0.909,2
11.tif,1341,258,47506,47,0.898,1
12.tif,947,318,47845,42,0.84,1
13.tif,744,73,48213,122,0.884,2
14.tif,473,139,48520,20,0.856,1
15.tif,467,104,48555,26,0.878,1
16.tif,466,96,48563,27,0.883,1

liver3D 37
imgName,TP,FP,TN,FN,DICE,CC
1.tif,5446,607,42826,273,0.925,1
2.tif,4966,920,43064,202,0.898,1
3.tif,4712,765,43380,295,0.899,1
4.tif,4491,659,43930,72,0.925,1
5.tif,4549,408,43970,225,0.935,1
6.tif,4485,320,43952,395,0.926,1
7.tif,4249,352,44269,282,0.931,1
8.tif,3920,255,44488,489,0.913,2
9.tif,3104,294,45470,284,0.915,2
10.tif,2238,713,45912,289,0.817,2
11.tif,1865,606,46377,304,0.804,4
12.tif,1655,548,46574,375,0.782,3
13.tif,1006,819,47004,323,0.638,3
14.tif,994,432,47400,326,0.724,3
15.tif,738,351,47827,236,0.715,3
16.tif,677,275,47997,203,0.739,3

